Sr. No.,Tender Id,T247 Id,Tender Number,Meril Ref No,New Govt Code,Distributor Master,Zonal Head Name,Front Line Sales,HO Name,Site Location,Tender Due Date,Pre Bid Meeting Date,Quantity,Uom,Sap Material Code,Model,Lob,Segment,Sales Cat,status,Remarks,Estimated Cost,Final Remarks,Bidder Company,Bidder Model,Bidder Price,Bidder Rank
171,13191,95011551,82253027,,,,,,,"New Delhi, Delhi, India",10-12-2025,ref to doc,,,,,,,,N/A,,0,,,,,
172,13192,95011817,82251001A,,,,,,,"New Delhi, Delhi, India",10-12-2025,ref to doc,,,,,,,,N/A,,0,,,,,
173,13193,95015360,HLL/PSD/RBD/2025-26/TENDER/103,,,,,,,"Thiruvananthapuram, Kerala, India",05-12-2025,ref to doc,,,,,,,,N/A,,0,,,,,
174,13194,95016600,02256583,,,,,,,"Chennai, Tamil Nadu, India",06-01-2026,ref to doc,,,,,,,,N/A,,0,,,,,
175,13195,95017712,GEM/2025/B/6932265,,,,,,,"Jalandhar, Punjab, India",16-12-2025,ref to doc,3852,,,,,,,N/A,,0,,,,,
176,13196,95024685,BMSIC/MEDICAL DEVICES/CONSUMABLES/25-13,,,,,,,"Patna, Bihar, India",17-12-2025,ref to doc,,,,,,,,N/A,,0,,,,,
177,13198,95026983,2025_NAVY_741487_2,,,,,,,"Kannur, Kerala, India",03-12-2025,ref to doc,,,,,,,,N/A,,0,,,,,
178,13199,95027008,2025_NAVY_741555_1,,,,,,,"Mumbai, Maharashtra, India",03-12-2025,ref to doc,,,,,,,,N/A,,0,,,,,
179,13201,95029610,2025_HFW_959261_8,,,,,,,"Kolkata, West Bengal, India",30-12-2025,02-12-2025,,,,,,,,N/A,,0,,,,,
180,13202,95031027,2025_ARMY_741547_1,,,,,,,"Jaipur, Rajasthan, India",29-11-2025,ref to doc,,,,,,,,N/A,,0,,,,,
181,13203,95031029,2025_ARMY_741551_1,,,,,,,"Jaipur, Rajasthan, India",29-11-2025,ref to doc,,,,,,,,N/A,,0,,,,,
