Sr. No.,Tender Id,T247 Id,Tender Number,Meril Ref No,New Govt Code,Distributor Master,Zonal Head Name,Front Line Sales,HO Name,Site Location,Tender Due Date,Pre Bid Meeting Date,Quantity,Uom,Sap Material Code,Model,Lob,Segment,Sales Cat,status,Remarks,Estimated Cost,Final Remarks,Bidder Company,Bidder Model,Bidder Price,Bidder Rank
100,13105,95000485,GEM/2025/B/6843774,,,,,,,"Nadia, West Bengal, India",16-12-2025,05-12-2025,1,,,,,,,N/A,,0,,,,,
101,13106,94993821,2025_RIMS_106814_1,,,,,,,"Ranchi, Jharkhand, India",20-12-2025,02-12-2025,,,,,,,,N/A,,0,,,,,
102,13107,94993822,2025_RIMS_106838_1,,,,,,,"Ranchi, Jharkhand, India",20-12-2025,02-12-2025,,,,,,,,N/A,,0,,,,,
103,13108,94993824,2025_RIMS_106844_1,,,,,,,"Ranchi, Jharkhand, India",20-12-2025,02-12-2025,,,,,,,,N/A,,0,,,,,
104,13109,94939826,,,,,,,,"Gaya, Bihar, India",15-12-2025,ref to doc,,,,,,,,N/A,,0,,,,,
105,13110,94995031,GEM/2025/B/6889225,,,,,,,"Kishtwar, Jammu And Kashmir, India",10-12-2025,,72160,,,,,,,N/A,,0,,,,,
106,13111,94995041,GEM/2025/B/6908325,,,,,,,"Bhubaneswar, Orissa, India",10-12-2025,,607653,,,,,,,N/A,,0,,,,,
107,13112,94995132,GEM/2025/B/6929648,,,,,,,"Thiruvananthapuram, Kerala, India",05-12-2025,,81,,,,,,,N/A,,0,,,,,
108,13113,94995276,GEM/2025/B/6930035,,,,,,,"New Delhi, Delhi, India",06-12-2025,,6,,,,,,,N/A,,0,,,,,
109,13115,94995619,GEM/2025/B/6930425,,,,,,,"Koraput, Orissa, India",25-12-2025,,1158,,,,,,,N/A,,0,,,,,
110,13116,94997012,2025_AMSRB_887095_1,,,,,,,"Raebareli, Uttar Pradesh, India",09-12-2025,ref to doc,,,,,,,,N/A,,0,,,,,
111,13120,94999359,2025_MCGM_1248360_1,,,,,,,"Mumbai, Maharashtra, India",02-12-2025,ref to doc,,,,,,,,N/A,,0,,,,,
112,13122,95000144,GEM/2025/B/6931334,,,,,,,"Udhampur, Jammu And Kashmir, India",05-12-2025,ref to doc,722,,,,,,,N/A,,0,,,,,
113,13123,95000186,GEM/2025/B/6931500,,,,,,,"Indore, Madhya Pradesh, India",10-12-2025,26-11-2025,3536,,,,,,,N/A,,0,,,,,
114,13124,95000349,GEM/2025/B/6930524,,,,,,,"Patna, Bihar, India",16-12-2025,ref to doc,1,,,,,,,N/A,,0,,,,,
115,13125,95000354,GEM/2025/B/6917896,,,,,,,"Bina, Madhya Pradesh, India",12-12-2025,ref to doc,16,,,,,,,N/A,,0,,,,,
116,13126,95002217,ADMIN-18.0/143/2025-AO(ADMIN)-AIIMS-NAGPUR/3361/Comt&Obj./21,,,,,,,"Nagpur, Maharashtra, India",08-12-2025,ref to doc,,,,,,,,N/A,,0,,,,,
117,13127,95002220,AIIMS-NGP/ANAT/ICMR-T.S.G/2025/66,,,,,,,"Nagpur, Maharashtra, India",03-12-2025,ref to doc,,,,,,,,N/A,,0,,,,,
118,13128,95002225,,,,,,,,"Kolkata, West Bengal, India",03-12-2025,ref to doc,,,,,,,,N/A,,0,,,,,
119,13129,95002300,170,,,,,,,"Angul, Orissa, India",01-12-2025,ref to doc,,,,,,,,N/A,,0,,,,,
120,13130,95002319,RGUKT/RKV/Housekeeping/2025-26/16,,,,,,,"Kadapa, Andhra Pradesh, India",02-12-2025,ref to doc,,,,,,,,N/A,,0,,,,,
121,13131,95006120,2025_MCGM_1248331_1,,,,,,,"Mumbai, Maharashtra, India",02-12-2025,ref to doc,,,,,,,,N/A,,0,,,,,
122,13132,95007395,,,,,,,,"Akola, Maharashtra, India",02-12-2025,ref to doc,,,,,,,,N/A,,0,,,,,
123,13133,95010298,02256441,,,,,,,"Chennai, Tamil Nadu, India",05-01-2026,ref to doc,,,,,,,,N/A,,0,,,,,
124,13134,95010320,51256227,,,,,,,"Jaipur, Rajasthan, India",16-12-2025,ref to doc,,,,,,,,N/A,,0,,,,,
125,13135,95010369,15255292,,,,,,,"Raebareli, Uttar Pradesh, India",22-12-2025,ref to doc,,,,,,,,N/A,,0,,,,,
126,13136,95010509,02256799,,,,,,,"Chennai, Tamil Nadu, India",02-01-2026,,,,,,,,,N/A,,0,,,,,
127,13137,95010675,02256863,,,,,,,"Thiruvananthapuram, Kerala, India",02-01-2026,,,,,,,,,N/A,,0,,,,,
128,13138,95010740,22255841,,,,,,,"Sealdah, West Bengal, India",03-12-2025,ref to doc,,,,,,,,N/A,,0,,,,,
