Sr. No.,Tender Id,T247 Id,Tender Number,Meril Ref No,New Govt Code,Distributor Master,Zonal Head Name,Front Line Sales,HO Name,Site Location,Tender Due Date,Pre Bid Meeting Date,Quantity,Uom,Sap Material Code,Model,Lob,Segment,Sales Cat,status,Remarks,Estimated Cost,Final Remarks,Bidder Company,Bidder Model,Bidder Price,Bidder Rank
190,11142,94505649,GEM/2025/B/6835641,,,,,,,"Jaipur, Rajasthan, India",26-11-2025,ref to doc,1824,,,,,,,N/A,,5852046.8,,,,,
191,12957,94952983,GEM/2025/B/6926726,,,,,,,"Samastipur, Bihar, India",15-12-2025,ref to doc,73,,,,,,,N/A,,5807750,,,,,
192,12707,94873170,2025_WBPWD_954784_1,,,,,,,"Darjeeling, West Bengal, India",17-12-2025,,,,,,,,,N/A,,5680443,,,,,
193,953,91852059,GEM/2025/B/6472474,,,,,,,"Chandigarh Ut, Chandigarh, India",01-12-2025,,550000,,,,,,,N/A,,5500000,,,,,
194,10836,94429727,2025_RNTMC_512191_2,,,,,,,"Udaipur, Rajasthan, India",01-12-2025,14-11-2025,,,,,,,,N/A,,5500000,,,,,
195,10927,94452201,GEM/2025/B/6874828,,,,,,,"Budaun, Uttar Pradesh, India",01-12-2025,ref to doc,1,,,,,,,N/A,,5500000,,,,,
196,11043,94487520,MCU2526GLOB00254,,,,,,,"Udaipur, Rajasthan, India",01-12-2025,ref to doc,,,,,,,,N/A,,5500000,,,,,
197,13006,94968118,PWD/2025-26/IND0160,,,,,,,"Ballari, Karnataka, India",03-12-2025,,,,,,,,,N/A,,5335000,,,,,
198,13007,94968119,PWD/2025-26/IND0162,,,,,,,"Ballari, Karnataka, India",03-12-2025,,,,,,,,,N/A,,5335000,,,,,
199,10576,94370875,GEM/2025/B/6756482,,,,,,,"Sidhi, Madhya Pradesh, India",29-11-2025,ref to doc,13827,,,,,,,N/A,,5148122.42,,,,,
200,11195,94510903,GEM/2025/B/6816327,,,,,,,"Dharwad, Karnataka, India",28-11-2025,ref to doc,1,,,,,,,N/A,,5041000,,,,,
201,11033,94476784,Bid Reference No.: WBMSCL/NIT-883/2025,,,,,,,"Kolkata, West Bengal, India",03-12-2025,ref to doc,,,,,,,,N/A,,5000000,,,,,
202,11204,94511714,MCA2526GLOB00182,,,,,,,"Ajmer, Rajasthan, India",08-12-2025,ref to doc,,,,,,,,N/A,,5000000,,,,,
203,11311,94541223,2025_HBC_483138_1,,,,,,,"Panchkula, Haryana, India",03-12-2025,ref to doc,,,,,,,,N/A,,5000000,,,,,
204,11797,94649154,2025_JLNMC_512769_1,,,,,,,"Ajmer, Rajasthan, India",08-12-2025,15-11-2025,,,,,,,,N/A,,5000000,,,,,
205,12180,94757724,GEM/2025/B/6889825,,,,,,,"Kanpur, Uttar Pradesh, India",03-12-2025,ref to doc,4585,,,,,,,N/A,,5000000,,,,,
206,12339,94803392,GHU2526GLRC00074,,,,,,,"Udaipur, Rajasthan, India",11-12-2025,ref to doc,,,,,,,,N/A,,5000000,,,,,
207,12610,94866573,GEM/2025/B/6918118,,,,,,,"Ahmedabad, Gujarat, India",01-12-2025,,1,,,,,,,N/A,,5000000,,,,,
208,12676,94871385,2025_JLNMC_514592_1,,,,,,,"Ajmer, Rajasthan, India",11-12-2025,26-11-2025,,,,,,,,N/A,,5000000,,,,,
209,12853,94927428,MCA2526GLOB00221,,,,,,,"Ajmer, Rajasthan, India",11-12-2025,ref to doc,,,,,,,,N/A,,5000000,,,,,
210,12405,94812313,GEM/2025/B/6908607,,,,,,,"Tarapur, Maharashtra, India",02-12-2025,,3390,,,,,,,N/A,,4887702,,,,,
211,11337,94548319,BRD/RDSS/HT-LT-TC/2025-26/N-Proc./PR- 221300:242654:,,,,,,,"Anand, Gujarat, India",04-12-2025,ref to doc,,,,,,,,N/A,,4837998,,,,,
212,12718,94898240,GEM/2025/B/6907080,,,,,,,"Ramgarh, Jharkhand, India",12-12-2025,ref to doc,19,,,,,,,N/A,,4793925,,,,,
213,10580,94344994,2025_PGIME_884538_1,,,,,,,"Chandigarh Ut, Chandigarh, India",01-12-2025,,,,,,,,,N/A,,4713075,,,,,
214,10986,94465316,GEM/2025/B/6868035,,,,,,,"Agra, Uttar Pradesh, India",26-11-2025,,74379,,,,,,,N/A,,4700000,,,,,
215,12620,94867536,GEM/2025/B/6800061,,,,,,,"Bangalore, Karnataka, India",01-12-2025,,5688,,,,,,,N/A,,4697547,,,,,
216,11461,94586584,GEM/2025/B/6887028,,,,,,,"Pondicherry, Puducherry, India",04-12-2025,,289,,,,,,,N/A,,4610891,,,,,
217,11375,94553720,GEM/2025/B/6827469,,,,,,,"Lucknow, Uttar Pradesh, India",04-12-2025,,8358,,,,,,,N/A,,4555270,,,,,
